id,origem,cpf,nome_civil,nome_eleitoral,cargo_atual,uf,partido,email,foto_url
ALEPI-324,alepi,,Aldo Gil de Medeiros,Aldo Gil,DEPUTADO ESTADUAL,PI,PP,aldogil@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/324/aldo-gil-24.jpg
ALEPI-4,alepi,,Ana Paula Mendes de Araújo,Ana Paula,DEPUTADO ESTADUAL,PI,MDB,depanapaula@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/4/ana-paula-26.jpg
ALEPI-325,alepi,,Barbara Carvalho da Silveira Soares Macêdo,Bárbara do Firmino,DEPUTADO ESTADUAL,PI,PP,barbaradofirmino@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/325/barbara_do_firmino-24.jpg
ALEPI-310,alepi,,Carlos Augusto Gomes de Sousa,Carlos Augusto,DEPUTADO ESTADUAL,PI,,carlosaugusto@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/310/cel_carlos_augusto.jpg
ALEPI-326,alepi,,Felipe de Souza Rezende Sampaio,Dr. Felipe Sampaio,DEPUTADO ESTADUAL,PI,MDB,depfelipesampaio@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/326/felipe_sampaio-24.jpg
ALEPI-327,alepi,,Gil Carlos Modesto Alves,Dr. Gil Carlos,DEPUTADO ESTADUAL,PI,PT,drgilcarlos@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/327/gil_carlos-24.jpg
ALEPI-289,alepi,,José Hélio de Carvalho Oliveira,Dr Hélio,DEPUTADO ESTADUAL,PI,MDB,drhelio@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/289/dr-helio.jpg
ALEPI-336,alepi,,Marcus Vinícius Malheiros Kalume,Dr. Marcus Vinícius Kalume,DEPUTADO ESTADUAL,PI,,depmarcusvinicius@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/336/dr_marcus_vinicius_kalume.jpg
ALEPI-331,alepi,,Thales Coelho Pimentel,Dr. Thales Coelho,DEPUTADO ESTADUAL,PI,PP,deputadothalescoelho@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/331/dr_thales_coelho-24.jpg
ALEPI-332,alepi,,Vinicius Pontes do Nascimento,Dr. Vinicius,DEPUTADO ESTADUAL,PI,PT,drviniciuspi@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/332/dr_vinicius-24.jpg
ALEPI-320,alepi,,ELISÂNGELA MARIA DOS SANTOS MOURA,Elisângela Moura,DEPUTADO ESTADUAL,PI,,elisangelamoura@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/320/elisangela_moura-24.jpg
ALEPI-317,alepi,,Evaldo Gomes da Silva,Evaldo Gomes,DEPUTADO ESTADUAL,PI,SDD,evaldogomes@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/317/evaldo-gomes-26.jpg
ALEPI-14,alepi,,Fabio Núñez Novo,Fábio Novo,DEPUTADO ESTADUAL,PI,PT,fabionovo@al.pi.leg.br,http://sapl.al.pi.leg.br/media/sapl/public/parlamentar/14/fabio-novo-24.jpg
